state,pincode,year,quater,registered_user
arunachal pradesh,790116,2018,q1,766
arunachal pradesh,791110,2018,q2,3488
arunachal pradesh,791111,2018,q2,3272
arunachal pradesh,791113,2018,q2,2219
arunachal pradesh,791102,2018,q2,2212
arunachal pradesh,790104,2018,q2,1698
arunachal pradesh,792103,2018,q2,1457
arunachal pradesh,791001,2018,q2,1421
arunachal pradesh,792001,2018,q2,1315
arunachal pradesh,791109,2018,q2,1231
arunachal pradesh,790116,2018,q2,1213
arunachal pradesh,791110,2018,q3,4872
arunachal pradesh,791111,2018,q3,4610
arunachal pradesh,791113,2018,q3,3178
arunachal pradesh,791102,2018,q3,3077
arunachal pradesh,790104,2018,q3,2328
arunachal pradesh,792103,2018,q3,2067
arunachal pradesh,791001,2018,q3,1907
arunachal pradesh,792001,2018,q3,1819
arunachal pradesh,790116,2018,q3,1623
arunachal pradesh,791109,2018,q3,1612
arunachal pradesh,791110,2018,q4,6599
arunachal pradesh,791111,2018,q4,6225
arunachal pradesh,791113,2018,q4,4115
arunachal pradesh,791102,2018,q4,4109
arunachal pradesh,790104,2018,q4,3034
arunachal pradesh,792103,2018,q4,2741
arunachal pradesh,792001,2018,q4,2577
arunachal pradesh,791001,2018,q4,2444
arunachal pradesh,790116,2018,q4,2206
arunachal pradesh,791109,2018,q4,2071
arunachal pradesh,791110,2019,q1,8094
arunachal pradesh,791111,2019,q1,7673
arunachal pradesh,791113,2019,q1,5140
arunachal pradesh,791102,2019,q1,5030
arunachal pradesh,790104,2019,q1,3751
arunachal pradesh,792103,2019,q1,3477
arunachal pradesh,792001,2019,q1,3160
arunachal pradesh,791001,2019,q1,3103
arunachal pradesh,790116,2019,q1,2798
arunachal pradesh,791109,2019,q1,2519
arunachal pradesh,791110,2019,q2,10055
arunachal pradesh,791111,2019,q2,9597
arunachal pradesh,791113,2019,q2,6418
arunachal pradesh,791102,2019,q2,6283
arunachal pradesh,790104,2019,q2,4437
arunachal pradesh,792103,2019,q2,4369
arunachal pradesh,791001,2019,q2,3960
arunachal pradesh,792001,2019,q2,3918
