state,pincode,year,quater,transaction_count,transaction_amount
andaman & nicobar islands,744101,2022,q4,243494,467192496.17391205
andaman & nicobar islands,744102,2022,q4,134923,264371699.73904055
andaman & nicobar islands,744211,2022,q4,56491,137253267.66612908
andaman & nicobar islands,744107,2022,q4,54192,104539818.47127225
andaman & nicobar islands,744112,2022,q4,46364,82461782.47749998
andaman & nicobar islands,744202,2022,q4,34689,94217164.85909571
andaman & nicobar islands,744301,2022,q4,33669,82466591.07632071
andhra pradesh,517501,2018,q1,110496,163487278.84449506
andhra pradesh,520001,2018,q1,96883,170605900.5466873
andhra pradesh,515001,2018,q1,92754,133522310.75704184
andhra pradesh,517507,2018,q1,88132,127450018.2101582
andhra pradesh,516001,2018,q1,84644,131194265.5243713
andhra pradesh,518502,2018,q1,82421,68040306.13881023
andhra pradesh,530016,2018,q1,81891,140880970.0990568
andhra pradesh,520010,2018,q1,69581,119009921.97401813
andhra pradesh,516360,2018,q1,68340,101612118.88480642
andhra pradesh,518501,2018,q1,68193,81006512.71677604
andhra pradesh,517501,2018,q2,165506,305629373.15863353
andhra pradesh,518502,2018,q2,140893,127814123.87394845
andhra pradesh,515001,2018,q2,129798,285924993.6163615
andhra pradesh,517507,2018,q2,127731,243405277.90481398
andhra pradesh,520001,2018,q2,123176,271911611.0495833
andhra pradesh,516001,2018,q2,114806,242175477.6115077
andhra pradesh,530016,2018,q2,111874,235770318.03054443
andhra pradesh,520010,2018,q2,100630,220730389.6490364
andhra pradesh,516360,2018,q2,96619,197068813.60447282
andhra pradesh,518501,2018,q2,93442,163942778.22947574
andhra pradesh,518502,2018,q3,1300146,709765829.9649723
andhra pradesh,533437,2018,q3,421968,240766495.05853492
andhra pradesh,518501,2018,q3,296154,291247918.8462258
andhra pradesh,517501,2018,q3,295403,466133618.6014985
andhra pradesh,515001,2018,q3,276595,438158383.2247275
andhra pradesh,530016,2018,q3,234494,380410223.19526947
andhra pradesh,517507,2018,q3,233347,386563858.6898683
andhra pradesh,516259,2018,q3,220165,109844218.671292
