state,year,quater,district,registered_user,app_opening
arunachal pradesh,2018,q2,namsai ,1276,0
arunachal pradesh,2018,q3,lower subansiri ,1033,0
arunachal pradesh,2018,q3,tirap ,1226,0
arunachal pradesh,2018,q3,papum pare ,16009,0
arunachal pradesh,2018,q3,anjaw ,542,0
arunachal pradesh,2018,q3,lower siang ,717,0
arunachal pradesh,2018,q3,dibang valley ,145,0
arunachal pradesh,2018,q3,west kameng ,4765,0
arunachal pradesh,2018,q3,shi yomi ,118,0
arunachal pradesh,2018,q3,east kameng ,521,0
arunachal pradesh,2018,q3,lohit ,2612,0
arunachal pradesh,2018,q3,lepa rada ,431,0
arunachal pradesh,2018,q3,lower dibang valley ,1286,0
arunachal pradesh,2018,q3,longding ,644,0
arunachal pradesh,2018,q3,west siang ,1652,0
arunachal pradesh,2018,q3,kamle ,65,0
arunachal pradesh,2018,q3,upper siang ,646,0
arunachal pradesh,2018,q3,kurung kumey ,222,0
arunachal pradesh,2018,q3,siang ,373,0
arunachal pradesh,2018,q3,kra daadi ,190,0
arunachal pradesh,2018,q3,changlang ,2889,0
arunachal pradesh,2018,q3,pakke kessang ,103,0
arunachal pradesh,2018,q3,east siang ,3590,0
arunachal pradesh,2018,q3,upper subansiri ,1169,0
arunachal pradesh,2018,q3,tawang ,3112,0
arunachal pradesh,2018,q3,namsai ,1862,0
arunachal pradesh,2018,q4,lower subansiri ,1459,0
arunachal pradesh,2018,q4,tirap ,1684,0
arunachal pradesh,2018,q4,papum pare ,21342,0
arunachal pradesh,2018,q4,anjaw ,744,0
arunachal pradesh,2018,q4,lower siang ,936,0
arunachal pradesh,2018,q4,dibang valley ,178,0
arunachal pradesh,2018,q4,west kameng ,6492,0
arunachal pradesh,2018,q4,shi yomi ,144,0
arunachal pradesh,2018,q4,east kameng ,691,0
arunachal pradesh,2018,q4,lohit ,3588,0
arunachal pradesh,2018,q4,lepa rada ,548,0
arunachal pradesh,2018,q4,lower dibang valley ,1827,0
arunachal pradesh,2018,q4,longding ,923,0
arunachal pradesh,2018,q4,west siang ,2117,0
arunachal pradesh,2018,q4,kamle ,109,0
arunachal pradesh,2018,q4,upper siang ,868,0
arunachal pradesh,2018,q4,kurung kumey ,321,0
arunachal pradesh,2018,q4,siang ,483,0
arunachal pradesh,2018,q4,kra daadi ,255,0
arunachal pradesh,2018,q4,changlang ,4036,0
arunachal pradesh,2018,q4,pakke kessang ,138,0
arunachal pradesh,2018,q4,east siang ,4813,0
arunachal pradesh,2018,q4,upper subansiri ,1576,0
arunachal pradesh,2018,q4,tawang ,4085,0
arunachal pradesh,2018,q4,namsai ,2495,0
arunachal pradesh,2019,q1,lower subansiri ,1879,0
arunachal pradesh,2019,q1,tirap ,2082,0
arunachal pradesh,2019,q1,papum pare ,26298,0
arunachal pradesh,2019,q1,anjaw ,934,0
arunachal pradesh,2019,q1,lower siang ,1123,0
arunachal pradesh,2019,q1,dibang valley ,211,0
arunachal pradesh,2019,q1,west kameng ,8115,0
arunachal pradesh,2019,q1,shi yomi ,186,0
arunachal pradesh,2019,q1,east kameng ,876,0
arunachal pradesh,2019,q1,lohit ,4416,0
arunachal pradesh,2019,q1,lepa rada ,710,0
arunachal pradesh,2019,q1,lower dibang valley ,2314,0
arunachal pradesh,2019,q1,longding ,1152,0
arunachal pradesh,2019,q1,west siang ,2656,0
arunachal pradesh,2019,q1,kamle ,141,0
arunachal pradesh,2019,q1,upper siang ,1125,0
arunachal pradesh,2019,q1,kurung kumey ,385,0
arunachal pradesh,2019,q1,siang ,651,0
arunachal pradesh,2019,q1,kra daadi ,350,0
arunachal pradesh,2019,q1,changlang ,5210,0
arunachal pradesh,2019,q1,pakke kessang ,162,0
arunachal pradesh,2019,q1,east siang ,5899,0
arunachal pradesh,2019,q1,upper subansiri ,1906,0
arunachal pradesh,2019,q1,tawang ,5023,0
arunachal pradesh,2019,q1,namsai ,3153,0
arunachal pradesh,2019,q2,lower subansiri ,2463,11644
arunachal pradesh,2019,q2,tirap ,2697,12779
arunachal pradesh,2019,q2,papum pare ,32800,163673
arunachal pradesh,2019,q2,anjaw ,1175,4993
arunachal pradesh,2019,q2,lower siang ,1457,7737
