state,year,quater,district,transaction_count,transaction_amount
arunachal pradesh,2020,q4,west kameng,129575,390436113.7366378
arunachal pradesh,2020,q4,east siang,88632,250515095.18896666
arunachal pradesh,2020,q4,changlang,84852,204367875.07299304
arunachal pradesh,2020,q4,lohit,80530,196997836.79933694
arunachal pradesh,2020,q4,tawang,67262,240482254.58453605
arunachal pradesh,2020,q4,namsai,46762,111916731.51687588
arunachal pradesh,2020,q4,west siang,45207,125118193.04939622
arunachal pradesh,2020,q4,tirap,36124,104709589.66019581
arunachal pradesh,2020,q4,lower dibang valley,33455,81929299.56817816
arunachal pradesh,2021,q1,papum pare,419891,1388723426.7156572
arunachal pradesh,2021,q1,west kameng,120906,384735272.8434415
arunachal pradesh,2021,q1,east siang,82357,253988360.79783517
arunachal pradesh,2021,q1,changlang,78849,220167765.51868472
arunachal pradesh,2021,q1,lohit,72380,198534806.934188
arunachal pradesh,2021,q1,tawang,54137,207859088.41115898
arunachal pradesh,2021,q1,namsai,45753,116637630.67690113
arunachal pradesh,2021,q1,west siang,42575,138700637.29161483
arunachal pradesh,2021,q1,lower dibang valley,32427,90709108.52350858
arunachal pradesh,2021,q1,tirap,32043,110593517.14623192
arunachal pradesh,2021,q2,papum pare,552953,1501062555.477559
arunachal pradesh,2021,q2,west kameng,164866,482626617.8657546
arunachal pradesh,2021,q2,east siang,106787,286839106.4541313
arunachal pradesh,2021,q2,changlang,105461,264031910.3489421
arunachal pradesh,2021,q2,lohit,99686,230495504.24757013
arunachal pradesh,2021,q2,tawang,70061,251025037.95363933
arunachal pradesh,2021,q2,namsai,64781,147069902.3522784
arunachal pradesh,2021,q2,west siang,59341,180700138.79997098
arunachal pradesh,2021,q2,tirap,46320,144548683.3225929
arunachal pradesh,2021,q2,lower dibang valley,42091,105552358.12192997
arunachal pradesh,2021,q3,papum pare,710098,1995999756.3372893
arunachal pradesh,2021,q3,west kameng,209165,658232385.7409549
arunachal pradesh,2021,q3,east siang,128957,368061706.2429154
arunachal pradesh,2021,q3,changlang,120126,319705502.42197955
arunachal pradesh,2021,q3,lohit,117879,275160751.4034922
arunachal pradesh,2021,q3,tawang,89052,365404078.3528414
arunachal pradesh,2021,q3,namsai,79292,177380632.18278247
arunachal pradesh,2021,q3,west siang,65763,217065611.3332364
arunachal pradesh,2021,q3,lower dibang valley,50270,133788746.95473914
arunachal pradesh,2021,q3,tirap,47118,143620525.85725695
arunachal pradesh,2021,q4,papum pare,919925,2435796597.1781564
arunachal pradesh,2021,q4,west kameng,247346,765859269.2953706
arunachal pradesh,2021,q4,east siang,169617,450185173.037876
arunachal pradesh,2021,q4,changlang,147432,403255246.4023236
arunachal pradesh,2021,q4,lohit,142772,328942905.2553121
arunachal pradesh,2021,q4,namsai,105194,220513367.66283622
arunachal pradesh,2021,q4,tawang,99575,412396002.3197621
arunachal pradesh,2021,q4,west siang,79050,267978346.9418527
arunachal pradesh,2021,q4,lower dibang valley,65302,174980099.83925235
arunachal pradesh,2021,q4,lower subansiri,60146,199366119.13556093
arunachal pradesh,2022,q1,papum pare,1163726,2909248438.629796
arunachal pradesh,2022,q1,west kameng,240672,705607894.004217
arunachal pradesh,2022,q1,east siang,201945,501600929.04419017
arunachal pradesh,2022,q1,changlang,171494,490549428.7793704
arunachal pradesh,2022,q1,lohit,169954,393361044.4830233
arunachal pradesh,2022,q1,namsai,117173,256004887.5750422
arunachal pradesh,2022,q1,west siang,92331,315562272.5888671
arunachal pradesh,2022,q1,tawang,86721,346661566.51465106
arunachal pradesh,2022,q1,lower dibang valley,83531,235243185.52128848
arunachal pradesh,2022,q1,lower subansiri,73100,239825149.91154164
arunachal pradesh,2022,q2,papum pare,1444757,3269917296.5595775
arunachal pradesh,2022,q2,west kameng,327925,893486447.5566866
arunachal pradesh,2022,q2,east siang,261162,604825118.1911323
arunachal pradesh,2022,q2,lohit,226199,502322813.6384013
arunachal pradesh,2022,q2,changlang,203732,513287861.1029648
arunachal pradesh,2022,q2,namsai,152652,293920909.24794424
